287,342,924,540
0,0,1359,799
767,477,1003,594
4,2,869,2
907,1,1356,26
548,3,1356,276
1257,322,1303,340
1,2,3,398
73,328,335,537
659,584,769,655
4,614,449,676
1121,352,1187,400
548,1,1356,427
937,308,958,354
1138,386,1354,472
3,602,1025,799
819,150,846,184
59,557,145,601
10,391,131,546
0,0,1357,600
657,496,981,635
970,290,1357,799
4,644,311,733
1052,416,1072,482
0,0,3,799
179,635,260,661
938,80,971,106
320,294,675,360
300,35,313,58
264,363,1106,583
868,49,892,71
802,155,1018,273
202,536,223,558
287,364,894,540
822,508,854,550
1229,65,1305,128
410,487,440,516
221,246,1155,540
391,422,894,474
558,572,680,642
759,594,1355,799
657,494,981,635
1135,450,1355,499
899,290,1358,799
393,479,672,587
1079,3,1356,276
3,536,641,742
899,0,1359,799
109,13,143,50
0,0,871,799
960,290,1357,799
960,348,973,367
1302,643,1355,650
304,67,328,84
4,0,1357,481
1057,46,1078,58
24,0,982,358
304,586,537,618
69,609,92,616
1216,3,1279,58
1280,3,1356,52
3,536,769,742
1,399,1,799
1123,580,1168,586
279,496,635,614
1074,484,1355,585
279,511,438,614
546,605,571,612
221,538,284,555
826,556,874,584
264,363,1106,594
174,331,201,361
899,280,1358,799
511,488,614,523
221,153,1155,540
988,565,1002,578
3,429,769,742
2,476,2,799
74,363,1106,600
2,218,1106,600
548,130,980,275
1053,639,1087,650
327,619,436,656
338,251,964,367
5,4,266,140
396,72,545,181
3,1,871,1
4,482,166,631
417,552,430,562
361,710,520,799
234,320,507,400
4,4,56,192
4,482,150,626
5,0,1357,481
3,278,12,343
1013,431,1023,456
3,545,641,742
895,243,927,259
1208,280,1357,320
73,328,1106,600
0,0,12,799
4,610,166,631
963,3,1356,276
435,545,537,580
899,525,1355,653
913,149,1356,427
1093,111,1356,276
402,363,1106,583
1323,113,1356,187
3,218,1106,600
1002,3,1356,276
1207,84,1235,98
378,140,398,151
626,208,666,219
2,388,16,475
1357,362,1357,799
118,141,186,156
1002,32,1134,213
615,358,910,413
391,446,481,474
1333,345,1358,365
310,103,334,123
1074,529,1084,548
1103,8,1121,20
759,594,1088,799
893,30,952,71
4,114,236,226
899,290,1357,799
3,1,871,2
1033,578,1158,625
1078,571,1355,628
4,550,641,676
912,3,1138,276
78,606,143,610
5,131,314,294
548,1,1356,481
4,635,311,733
662,545,674,565
69,554,76,581
595,210,633,226
763,611,1355,799
264,629,323,652
340,659,374,668
107,204,127,218
1156,244,1274,285
402,401,890,443
52,270,80,280
0,0,1357,481
1196,280,1226,300
548,1,1356,285
1265,140,1312,158
1357,361,1358,799
459,626,486,633
931,536,954,550
912,3,1356,276
490,209,587,248
402,422,894,474
995,494,1006,554
3,0,871,2
1146,495,1196,539
840,205,1048,276
957,0,1359,799
3,536,680,742
3,662,328,742
58,4,308,46
1128,187,1155,196
221,178,1155,540
1079,401,1133,461
4,550,449,676
1212,19,1227,47
370,551,394,566
634,427,699,437
753,544,767,565
24,0,1357,481
1067,449,1081,483
548,1,1356,276
1027,412,1038,436
1201,520,1355,595
1033,520,1355,628
287,364,874,437
3,0,425,0
986,526,996,557
503,445,862,517
1004,495,1011,522
188,32,222,52
4,650,311,733
308,179,402,205
1033,631,1355,705
473,640,509,648
1127,636,1180,669
1079,3,1356,250
4,545,641,676
659,494,766,559
963,4,1221,222
1298,323,1325,340
0,0,766,277
955,380,1013,489
4,658,36,693
522,417,561,428
0,0,2,799
614,342,924,395
177,593,243,620
3,429,10,674
1286,20,1320,50
15,393,32,410
1,3,1,398
119,437,129,457
1358,361,1358,799
539,373,569,403
1299,103,1330,118
1007,339,1031,379
3,218,309,505
1281,45,1317,82
61,550,286,621
149,61,213,117
1357,1,1358,345
283,73,310,126
975,523,986,551
1216,636,1318,641
74,450,418,600
1078,520,1355,628
896,149,956,160
231,153,613,329
1117,342,1288,450
628,273,675,289
2,2,3,397
408,571,641,666
1127,656,1166,668
877,336,953,481
420,178,643,275
621,227,1010,288
325,258,445,304
720,396,808,405
391,422,894,517
76,240,248,315
42,644,172,679
1061,737,1099,745
884,470,916,496
318,409,363,456
1085,636,1109,654
391,401,894,540
221,246,1155,398
264,404,659,546
410,79,427,106
973,603,981,636
1279,2,1357,283
923,635,1355,707
98,164,119,181
428,496,635,598
548,1,1357,481
1349,22,1356,69
391,422,894,540
636,469,884,540
802,3,1356,276
